Name,ID,LPC,CPC,NDP,GRN,PPC,BQC,OTH,VOTES
Etobicoke Centre,seat35029,28406,20199,6344,188,3864,0,64,59065
Etobicoke North,seat35031,21494,9237,3870,0,1593,0,292,36486
Etobicoke-Lakeshore,seat35030,26115,18016,7475,1175,2441,0,215,55437
Flamborough-Glanbrook-Brant North,seat35032,17173,23443,7696,1309,3497,0,48,53166
Guelph,seat35033,23788,13506,12762,4544,2691,0,380,57671
Haldimand-Norfolk,seat35034,17224,29664,8320,0,6570,0,814,62592
Haliburton-Kawartha Lakes,seat35035,15829,34470,9415,1627,4541,0,411,66293
Hamilton Centre,seat35036,13252,8209,23494,1330,3269,0,283,49837
Hamilton East-Stoney Creek,seat35037,21487,16421,11762,1018,3970,0,0,54658
Hamilton Mountain,seat35038,18239,13235,16592,1046,3315,0,306,52733
Hamilton West-Ancaster-Dundas,seat35039,28663,18849,12735,1681,2653,0,137,64718
Hastings-Lennox and Addington-Tyendinaga,seat35040,20031,26596,6411,1036,3302,0,838,58214
Humber River-Black Creek,seat35041,19533,5599,5279,388,1258,0,130,32187
Huron-Bruce,seat35042,16015,31170,9056,0,4437,0,519,61197
Kanata,seat35043,27541,23042,9415,1602,1754,0,0,63354
Kapuskasing-Timmins-Mushkegowuk,seat35044,10731,10189,14587,162,4993,0,58,40720
Kenora-Kiiwetinoong,seat35045,4790,10471,6994,338,1543,0,0,24136
Kingston and the Islands,seat35046,29260,17617,20679,1761,2500,0,11,71828
King-Vaughan,seat35047,19272,20264,2970,569,1973,0,0,45048
Kitchener Centre,seat35048,8906,12772,8985,17113,3423,0,145,51344
Kitchener South-Hespeler,seat35050,18596,17649,8079,1710,3351,0,269,49654
Kitchener-Conestoga,seat35049,20526,20220,6415,2706,3883,0,9,53759
Lanark-Frontenac,seat35051,15082,29165,8924,1576,3645,0,201,58593
Leeds-Grenville-Thousand Islands-Rideau Lakes,seat35052,14935,29950,8863,2134,3394,0,0,59276
London Centre,seat35053,21249,13967,17136,1103,2886,0,84,56425
London West,seat35055,20668,19195,12850,0,2825,0,615,56153
London-Fanshawe,seat35054,11882,12486,22336,0,4718,0,0,51422
Markham-Stouffville,seat35056,25228,16920,4321,973,1444,0,0,48886
Markham-Thornhill,seat35057,27298,11664,3700,883,761,0,0,44306
Markham-Unionville,seat35058,20167,17810,2738,1157,0,0,0,41872
Middlesex-London,seat35059,15579,26451,9941,1051,4474,0,110,57606
Milton East-Halton Hills South,seat35060,21524,21060,4909,1309,2493,0,0,51295
